#sample	ecDNA_count
OVCAR8_OVARY	6
OVSAHO_OVARY	5
PANC0327_PANCREAS	0
PANC1005_PANCREAS	0
PANC1_PANCREAS	0
PATU8988T_PANCREAS	0
PC14_LUNG	0
PC3_PROSTATE	4
PLCPRF5_LIVER	0
QGP1_PANCREAS	3
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1
RERFGC1B_STOMACH	2
RERFLCMS_LUNG	0
RKN_SOFT_TISSUE	0
RL952_ENDOMETRIUM	1
RMGI_OVARY	7
RPMI7951_SKIN	0
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0
RT112_URINARY_TRACT	1
RVH421_SKIN	1
SBC5_LUNG	1
SCABER_URINARY_TRACT	1
SCC25_UPPER_AERODIGESTIVE_TRACT	0
SCC4_UPPER_AERODIGESTIVE_TRACT	0
SCLC21H_LUNG	2
SF295_CENTRAL_NERVOUS_SYSTEM	1
SH10TC_STOMACH	0
SHP77_LUNG	0
SKCO1_LARGE_INTESTINE	0
SKLMS1_SOFT_TISSUE	0
SKLU1_LUNG	0
SKMEL24_SKIN	0
SKMEL2_SKIN	1
SKMEL30_SKIN	0
SKMEL5_SKIN	0
SKMES1_LUNG	1
SKOV3_OVARY	4
SNU119_OVARY	1
SNU16_STOMACH	1
SNU182_LIVER	2
SNU1_STOMACH	0
SNU387_LIVER	0
SNU423_LIVER	0
SNU449_LIVER	0
SNU475_LIVER	1
SNUC2A_LARGE_INTESTINE	0
SUIT2_PANCREAS	1
SW1271_LUNG	0
SW1783_CENTRAL_NERVOUS_SYSTEM	1
SW1990_PANCREAS	0
SW480_LARGE_INTESTINE	1
SW48_LARGE_INTESTINE	0
SW579_THYROID	2
SW900_LUNG	1
SW948_LARGE_INTESTINE	0
T24_URINARY_TRACT	0
T47D_BREAST	1
T84_LARGE_INTESTINE	0
TE11_OESOPHAGUS	1
TE1_OESOPHAGUS	1
TE5_OESOPHAGUS	3
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2
U251MG_CENTRAL_NERVOUS_SYSTEM	2
U2OS_BONE	0
UACC257_SKIN	0
UACC812_BREAST	4
UACC893_BREAST	2
VMCUB1_URINARY_TRACT	0
ZR751_BREAST	1
