sample_name	amplicon_number	No amp/Invalid	Non-cyclic	Integration	Hybrid	Cyclic
CORL88_LUNG	amplicon2	0.0	0.741	0.07766666666666665	0.12866666666666665	0.05266666666666666
CORL88_LUNG	amplicon3	0.13226190476190475	0.2142857142857143	0.3957142857142858	0.16928571428571423	0.08845238095238094
CORL88_LUNG	amplicon4	0.40782407407407395	0.09560185185185185	0.4565740740740742	0.026666666666666665	0.013333333333333332
CORL88_LUNG	amplicon5	0.1	0.39999999999999997	0.5	0.0	0.0
COV362_OVARY	amplicon1	0.0	0.0	0.0	0.0	0.0
COV362_OVARY	amplicon2	0.11111111111111109	0.4444444444444444	0.4444444444444444	0.0	0.0
COV362_OVARY	amplicon3	0.0	0.25	0.5	0.0	0.25
COV362_OVARY	amplicon4	0.11111111111111109	0.11111111111111109	0.4444444444444444	0.22222222222222218	0.11111111111111109
COV362_OVARY	amplicon5	0.0	0.0	0.0	0.0	0.0
COV644_OVARY	amplicon1	0.0	0.01910919540229885	0.0	0.19741379310344828	0.7834770114942529
COV644_OVARY	amplicon2	0.2152777777777778	0.34027777777777785	0.4444444444444444	0.0	0.0
COV644_OVARY	amplicon3	0.37594338269054184	0.10549744605142333	0.4757303145087236	0.0069731404958677705	0.03585571625344353
COV644_OVARY	amplicon4	1.0	0.0	0.0	0.0	0.0
DANG_PANCREAS	amplicon10	0.09722222222222222	0.26388888888888895	0.4305555555555556	0.15972222222222224	0.04861111111111111
DANG_PANCREAS	amplicon1	0.4444444444444444	0.1111111111111111	0.4444444444444444	0.0	0.0
DANG_PANCREAS	amplicon2	0.03703703703703703	0.3302469135802469	0.36111111111111105	0.24074074074074067	0.030864197530864185
DANG_PANCREAS	amplicon3	0.0	1.0	0.0	0.0	0.0
DANG_PANCREAS	amplicon4	0.0	0.0	0.0	0.0	0.0
DANG_PANCREAS	amplicon5	0.0	0.0	0.0	0.0	0.0
DANG_PANCREAS	amplicon6	0.0	1.0	0.0	0.0	0.0
DANG_PANCREAS	amplicon7	0.10373724489795914	0.18251417233560088	0.39796201814058957	0.1637443310657596	0.15204223356009067
DANG_PANCREAS	amplicon8	0.1111111111111111	0.4444444444444444	0.4444444444444444	0.0	0.0
DANG_PANCREAS	amplicon9	0.027777777777777776	0.8611111111111112	0.1111111111111111	0.0	0.0
DAOY_CENTRAL_NERVOUS_SYSTEM	amplicon1	0.09444444444444443	0.3277777777777777	0.4777777777777777	0.07777777777777777	0.02222222222222222
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	amplicon1	0.4444444444444444	0.1111111111111111	0.4444444444444444	0.0	0.0
DETROIT562_UPPER_AERODIGESTIVE_TRACT	amplicon1	0.09090909090909091	0.07386363636363637	0.19318181818181818	0.20454545454545456	0.4375
DETROIT562_UPPER_AERODIGESTIVE_TRACT	amplicon2	0.0	0.0	0.0	0.0	0.0
